source,text
"""قانون سوق رأس المال - مادة (5)""",يجب أن تتضمن نشرة الاكتتاب في أسهم الشركة عند تأسيسها الإفصاح عن البيانات الآتية: (أ) غرض الشركة ومدتها. (ب) رأس مال الشركة المصدر والمدفوع. (جـ) مواصفات الأسهم المطروحة ومميزاتها وشروط طرحها. (د) أسماء المؤسسين ومقدار مساهمة كل منهم وبيان الحصص العينية إن وجدت. (هـ) خطة الشركة في استخدام الأموال المتحصلة من الاكتتاب في الأسهم المطروحة وتوقعاتها بالنسبة لنتائج استخدام الأموال. (و) أماكن الحصول على نشرة الاكتتاب المعتمدة من الهيئة. (ز) أية بيانات تحددها اللائحة التنفيذية. ويجب أن تتضمن نشرات الاكتتاب الأخرى بالإضافة إلى البيانات المشار إليها في الفقرة السابقة الإفصاح عن البيانات الآتية: (أ) سابقة أعمال الشركة. (ب) أسماء أعضاء مجلس الإدارة والمديرين المسئولين بها وخبراتهم. (جـ) أسماء حاملي الأسهم الاسمية الذين يملك كل منهم أكثر من 5% من أسهم الشركة ونسبة ما يملكه كل منهم. (د) موجز للقوائم والبيانات المالية المعتمدة من مراقبي الحسابات عن السنوات الثلاث السابقة أو عن المدة من تاريخ تأسيس الشركة أيهما أقل والمعدة طبقاً لقواعد الإفصاح التي تبينها اللائحة التنفيذية والنماذج التي تضعها الهيئة.
"""قانون سوق رأس المال - مادة (6)""",على كل شركة طرحت أوراقاً مالية لها في اكتتاب عام أن تقدم على مسئوليتها إلى الهيئة تقارير نصف سنوية عن نشاطها ونتائج أعمالها على أن تتضمن هذه التقارير البيانات التي تفصح عن المركز المالي الصحيح لها. وتعد الميزانية وغيرها من القوائم المالية للشركة طبقاً للمعايير المحاسبية ولقواعد المراجعة التي تحددها أو تحيل إليها اللائحة التنفيذية. وتخطر الهيئة بالميزانية وبالقوائم المالية وتقريري مجلس الإدارة ومراقب الحسابات عنها قبل شهر من التاريخ المحدد لانعقاد الجمعية العامة. وللهيئة فحص الوثائق المشار إليها في الفقرات السابقة أو تكليف جهة متخصصة بهذا الفحص، وتبلغ الهيئة الشركة بملاحظاتها، وتطلب إعادة النظر في هذه الوثائق بما يتفق ونتائج الفحص، فإذا لم تستجب الشركة لذلك التزمت بنفقات نشر الهيئة لملاحظاتها والتعديلات التي طلبتها، ويتم النشر على الوجه المبين بالفقرة التالية. ويجب على الشركة نشر ملخص للقوائم المالية، والإيضاحات المتممة لها، وتقرير مراقب الحسابات بوسائل النشر طبقاً للقواعد والضوابط التي يضعها مجلس إدارة الهيئة. كما يجب على كل شركة تواجه ظروفاً جوهرية تؤثر على نشاطها أو في مركزها المالي أن تفصح عن ذلك فوراً بوسائل النشر طبقاً للقواعد والضوابط التي يضعها مجلس إدارة الهيئة.
"""قانون سوق رأس المال - مادة (7)""",على الشركة ومراقبي حساباتها موافاة الهيئة بما تطلبه من بيانات ووثائق للتحقق من صحة البيانات الواردة بنشرات الاكتتاب والتقارير الدورية والبيانات والقوائم المالية للشركة.
"""قانون سوق رأس المال - مادة (8)""",تنظم اللائحة التنفيذية أحكام عروض الشراء وعمليات الاستحواذ على الأسهم وغيرها من الأوراق المالية أو القابلة للتحول إلى أسهم في الشركات المقيد لها أوراق مالية في بورصات الأوراق المالية، أو التي طرحت أوراق مالية في اكتتاب عام، أو من خلال طرح عام ولو لم تكن مقيدة في بورصات الأوراق المالية، وعلى الأخص ما يأتي: ١– ضوابط ومتطلبات حماية حقوق الأقلية من المساهمين. ٢– الحالات التي يتعين فيها تقديم عروض إجبارية لشراء الأوراق المالية. ٣– الإجراءات التنفيذية ومتطلبات الإفصاح الخاصة بعروض الشراء أو عمليات الاستحواذ. ٤– الحالات التي يتعين فيها الإفصاح المسبق أو اللاحق لعمليات شراء أو بيع الأوراق المالية ببورصات الأوراق المالية.
"""قانون سوق رأس المال - مادة (9)""",لا يجوز للمساهم أن يمثل في اجتماع الجمعية العامة للشركة عن طريق الوكالة عددا من الأصوات يجاوز الحد الذي تعينه اللائحة التنفيذية.
"""قانون سوق رأس المال - مادة (10)""","لمجلس إدارة الهيئة بناء على أسباب جدية يبديها عدد من المساهمين الذين يملكون 5% على الأقل من أسهم الشركة وبعد التثبت وقف قرارات الجمعية العامة للشركة التي تصدر لصالح فئة معينة من المساهمين أو للإضرار بهم أو لجلب نفع خاص لأعضاء مجلس الإدارة أو غيرهم."" ""قانون سوق رأس المال - مادة (10) (تكملة)"",""وعلى أصحاب الشأن عرض طلب إبطال قرارات الجمعية العامة على هيئة التحكيم المنصوص عليها في الباب الخامس من هذا القانون خلال خمسة عشر يوما من تاريخ صدور القرار، فإذا انقضت المدة دون اتخاذ هذا الإجراء اعتبر الوقف كأن لم يكن."
"""قانون سوق رأس المال - مادة (10 مكررًا)""",تلتزم الجهة المقيد لها أوراق أو أدوات مالية ببورصات الأوراق المالية بإتاحة استخدام الأنظمة الإلكترونية التي تكفل لمساهميها حضور اجتماعات الجمعية العامة وإثبات إجراءاتها والتصويت عليها عن بُعد، وذلك كله وفقًا للشروط والضوابط والإجراءات التي يصدر بها قرار من مجلس إدارة الهيئة.
"""قانون سوق رأس المال - مادة (11)""",ينشأ بالهيئة سجل يقيد به مراقبو الحسابات الذين يجوز لهم مراجعة الشركات المقيدة أوراقها ببورصة الأوراق المالية وشركات الاكتتاب العام والشركات العاملة في مجال الأوراق المالية وصناديق الاستثمار المنشأة بالبنوك وشركات التأمين. ويضع مجلس إدارة الهيئة شروط وأحكام قيد وشطب مراقبي الحسابات في السجل المشار إليه.
"""قانون سوق رأس المال - مادة (12)""",تصدر السندات وصكوك التمويل والأوراق المالية الأخرى بقرار من الجمعية العامة للشركة، ووفقًا للقواعد والإجراءات التي تبينها اللائحة التنفيذية لهذا القانون، ويجوز بترخيص من الهيئة طرحها في اكتتاب عام. فإذا كانت السندات وصكوك التمويل والأوراق المالية الأخرى المشار إليها قصيرة الأجل لمدة لا تجاوز سنتين، يجوز أن يكون قرار الإصدار بناءً على موافقة مجلس إدارة الشركة بشرط حصوله على تفويض من الجمعية العامة للشركة أو موافقة السلطة المختصة في غيرها من الأشخاص الاعتبارية، ووفقًا للقواعد والإجراءات التي يضعها مجلس إدارة الهيئة في شأن إصدارها وطرحها في اكتتاب عام أو خاص. وفي جميع الأحوال، يجب أن يتضمن قرار الإصدار العائد الذي يجنيه السند أو الصك أو الورقة المالية، وأساس حسابه، دون التقيد بالحدود المنصوص عليها في أي قانون آخر.
"""قانون سوق رأس المال - مادة (13)""",يجوز لأصحاب السندات وصكوك التمويل والأوراق المالية الأخرى ذات الإصدار الواحد في الشركة تكوين جماعة يكون غرضها حماية المصالح المشتركة لأعضائها ويكون لها ممثل قانوني من بين أعضائها يتم اختياره وعزله وفقا للشروط والأوضاع المبينة في اللائحة التنفيذية ويشترط ألا تكون له أية علاقة مباشرة أو غير مباشرة بالشركة وألا تكون له مصلحة متعارضة مع مصلحة أعضاء الجماعة. ويباشر ممثل الجماعة ما تقتضيه حماية المصالح المشتركة لها سواء في مواجهة الشركة أو الغير أو أمام القضاء وذلك في حدود ما تتخذه الجماعة من قرارات في اجتماع صحيح. ويتعين إخطار الهيئة بتشكيل هذه الجماعة واسم ممثلها وصور من قراراتها. وتحدد اللائحة التنفيذية أوضاع وإجراءات دعوة الجماعة للانعقاد ومن له حق الحضور وكيفية الانعقاد ومكانه والتصويت وعلاقة الجماعة بالشركة والهيئة.
"""قانون سوق رأس المال - مادة (14)""",مُلغاة.
"""قانون سوق رأس المال - مادة (14 مكررًا)""",في تطبيق أحكام هذا القانون والقرارات الصادرة تنفيذًا له، يقصد بالكلمات والعبارات التالية، المعنى المبين قرين كل منها: الصكوك: أوراق مالية اسمية متساوية القيمة، تصدر لمدة محددة لا تزيد على ثلاثين عامًا، تمثل كل منها حصة شائعة في ملكية أصول أو منافع أو موجودات أو مشروع معين أو التدفقات النقدية له، وفقًا لما تحدده نشرة الاكتتاب العام أو مذكرة المعلومات، بحسب الأحوال. المشروع: أي نشاط اقتصادي، مدر للدخل، وفقًا لدراسة جدوى تُعَدُّ عنه. التصكيك: عملية مالية يتم من خلالها تملك أصول أو منافع أو حقوق مشروع محل، أو تملك حقوقه، وإصدار صكوك مقابلها. شركة التصكيك: شركة مساهمة مصرية ذات غرض وحيد يتمثل في إصدار الصكوك، يتم تأسيسها والترخيص لها وفقًا لأحكام هذا القانون، وتقوم بتملك الأصول أو المنافع أو الحقوق أو المشروع محل التمويل، نيابة عن مالكي الصكوك. الجهة المستفيدة: الشخص الاعتباري المستفيد من التمويل الناتج عن التصكيك، وهو حصيلة الاكتتاب في الصكوك وما تتحول إليها من أموال، وتشمل الأعيان والمنافع والخدمات والنقود والديون وغيرها من الحقوق المالية. الجهة المصدرة: شركة التصكيك أو الجهة المستفيدة في حالة عدم وجود شركة تصكيك. منظم الإصدار: بنك أو شركة أوراق مالية مؤسسة وفق هذا القانون أو أي مؤسسة مالية أخرى ترخص لها الهيئة بإدارة وتنظيم الإصدار والترويج له نيابة عن الجهة المستفيدة والجهة المصدرة. وكيل السداد: بنك مرخص له من البنك المركزي المصري يعمل وكيلاً عن الجهة المصدرة لتنسيق سداد الصكوك وأداء قيمتها في نهاية المدة لمالكيها، أو إحدى الشركات المرخص لها بمزاولة نشاط الإيداع والقيد المركزي. عقد الإصدار: العقد الذي تصدر على أساسه الصكوك وفقًا لأحكام هذا القانون، وينظم العلاقة بين الجهة المصدرة والجهة المستفيدة ومنظم الإصدار ومالكي الصكوك، من حيث مجالات استثمار حصيلة الصكوك، ومدة هذا الاستثمار، وعوائده المتوقعة، وطريقة توزيعها وواجبات تلك الجهات، وآجال الصكوك، وإمكان تداولها واستردادها. حق الانتفاع: حق استخدام الأصول التي تصدر الصكوك في مقابلها بما لا ينتج عنه فناء هذه الأصول.
"""قانون سوق رأس المال - مادة (14 مكررًا / 1)""",تصدر الصكوك بموجب عقد إصدار وفقًا لإحدى الصيغ الآتية: (أ) صكوك المضاربة: تُصدر على أساس عقد مضاربة بين مالكي الصكوك والجهة المستفيدة، وتستخدم حصيلة إصدارها في تمويل نشاط اقتصادي أو مشروع محدد تديره الجهة المستفيدة، ويمثل الصك حصة شائعة في ملكية موجودات المضاربة، ويتم توزيع عائد الصكوك من الأرباح التي يحققها النشاط أو المشروع وفق النسبة المحددة في العقد، ورد قيمتها الاسمية في نهاية أجلها من النشاط أو المشروع. (ب) صكوك المرابحة: تصدر على أساس عقد مرابحة، وتستخدم حصيلة إصدارها لتمويل شراء بضاعة المرابحة لبيعها للواعد بشرائها، بعد تملكها وقبضها، ويمثل الصك حصة شائعة في ملكية هذه البضاعة بعد شرائها، وقبل بيعها وتسليمها لمشتريها، وفي ثمنها بعد بيعها للواعد بشرائها، وعائد هذه الصكوك هو الفرق بين ثمن شراء بضاعة المرابحة وثمن بيعها للواعد بشرائها. (جـ) صكوك المشاركة: تصدر على أساس عقد مشاركة، وتستخدم حصيلة إصدارها في تمويل إنشاء مشروع، أو تطوير مشروع قائم، أو تمويل نشاط على أساس المشاركة، ويمثل الصك حصة شائعة في ملكية موجودات المشاركة، ويستحق مالكو الصكوك حصة من أرباح المشاركة بنسبة ما يملكه كل منهم من صكوك. (د) صكوك إجارة الموجودات أو الخدمات: تصدر على أساس عقد إجارة موجودات أو خدمات بقصد إعادة تملكها، وتستخدم حصيلة إصدارها في تمويل شراء الموجودات أو الخدمات لإعادة تأجيرها لمتلقيها بقصد تملكها لهم بعد سداد ثمنها، ويمثل الصك حصة شائعة في ملكية الموجودات أو الخدمات، وعائد هذه الصكوك هو الفرق بين ثمن شراء الموجودات أو الخدمات وثمن بيعها. (هـ) أي صيغة أخرى لعقود الصكوك تحددها اللائحة التنفيذية لهذا القانون. وفي جميع الأحوال السابقة، لا يجوز أن تتضمن صيغة التعاقد نصًا بضمان حصة مالك الصك في رأس المال، أو بضمان عائد مقطوع أو منسوب إلى قيمة الصك، ويستثنى من ذلك حالات التقصير أو الإخلال بأحكام القانون أو مخالفة شروط نشرة الاكتتاب العام أو مذكرة المعلومات.
"""قانون سوق رأس المال - مادة (14 مكررًا / 2)""",يجوز أن تصدر صكوك يطلق عليها “متوافقة مع الشريعة الإسلامية” أو “إسلامية” أو “شرعية” كما يجوز أن يشار إليها إلى أي من تلك العبارات في أي من عقودها أو نشرات طرحها أو وثائقها أو مواد الترويج لها أو الإعلانات الصادرة عنها إلا وفقًا للشروط الآتية: (أ) أن تشكل لجنة رقابة شرعية للإصدار وفقًا للضوابط التي يصدر بها قرار من مجلس إدارة الهيئة بعد موافقة الأزهر الشريف، يحدد متطلبات تشكيل لجان الرقابة الشرعية واشتراطات عضويتها. (ب) أن يكون المشروع محل التصكيك مجازًا من لجنة الرقابة الشرعية بما يفيد توافقه مع أحكام الشريعة الإسلامية. (جـ) أن تكون جميع التعاقدات الخاصة بإصدار الصكوك ونشرات الطرح المرتبطة به مجازة من لجنة الرقابة الشرعية بما يفيد توافقها مع أحكام الشريعة الإسلامية. (د) أن يكون طلب قيد وتداول إصدار الصكوك بإحدى البورصات مجازًا من لجنة الرقابة الشرعية. وتلتزم لجنة الرقابة الشرعية منذ إصدار الصكوك وحتى انتهاء استردادها بالتحقق من استمرار توافق الصكوك مع أحكام الشريعة الإسلامية، وإثبات ذلك في تقارير دورية تعدها كل ثلاثة أشهر، يتم نشرها على النحو الذي يحدده مجلس إدارة الهيئة.
"""قانون سوق رأس المال - مادة (14 مكررًا / 3)""",يشترط في إصدار صكوك لتمويل نشاط أو مشروع معين أن يتوافر فيه ما يأتي: (أ) أن يدر دخلاً، وفقًا لدراسة تعد لهذا الغرض. (ب) أن تديره إدارة متخصصة، تتمتع بخبرة عالية في نوع النشاط. (جـ) أن يكون النشاط أو المشروع داخل جمهورية مصر العربية، ما لم تكن الشركة أو الجهة مصرية. (د) أن يكون له حسابات مالية مستقلة عن الأنشطة أو المشروعات الأخرى الخاصة بالجهة المصدرة والجهة المستفيدة وتستخرج منها القوائم المالية الدورية والسنوية. (هـ) أن يتولى مراقبة حسابات المشروع مراقب حسابات أو أكثر، تعينه الجهة المصدرة من بين مراقبي الحسابات المسجلين لدى الهيئة. (و) أن تصدر القوائم المالية للنشاط أو المشروع وتراجع وفقًا لمعايير المحاسبة والمراجعة المشار إليها في هذا القانون. وتصدر الصكوك بالجنيه المصري أو بأي عملة من العملات الأجنبية القابلة للتحويل، وذلك مع مراعاة أحكام التشريعات المنظمة للتعامل بالنقد الأجنبي.
"""قانون سوق رأس المال - مادة (14 مكررًا / 4)""",تصدر الصكوك من خلال شركة تصكيك تتلقى حصيلة الاكتتاب في الصكوك، وتعمل وكيلاً عن حملة الصكوك في متابعة استثمارها واستخدامها في الأغراض التي صدرت من أجلها، ومتابعة توزيع عوائد وقيمة استردادها، وتكون طرفًا في جميع العقود مع الجهة المستفيدة من التمويل وغيرها من المشاركين في الإصدار نيابة عن مالكي الصكوك. ويضع مجلس إدارة الهيئة الشروط والضوابط الخاصة بقيام الجهة المستفيدة بإصدار الصكوك بذاتها.
"""قانون سوق رأس المال - مادة (14 مكررًا / 5)""",يجوز لشركة التصكيك أن تتعامل في أكثر من إصدار صك واحد حتى تمام سداده، بشرط أن يرخص بذلك من مجلس إدارة الهيئة وفقًا للضوابط التي يضعها في هذا الشأن وبصفة خاصة إمساك حسابات مستقلة لكل إصدار، بما يترتب عليه اقتصار حقوق حملة كل إصدار من الصكوك على الأصول المرتبطة بالإصدار.
"""قانون سوق رأس المال - مادة (14 مكررًا / 6)""",يجوز للجهات التالية، وبعد موافقة الهيئة، الاستفادة من التمويل من خلال عقد إصدار صكوك: (أ) شركات المساهمة الخاضعة لأحكام هذا القانون أو قانون شركات المساهمة وشركات التوصية بالأسهم والشركات ذات المسئولية المحددة وشركات الشخص الواحد الصادر بالقانون رقم 159 لسنة 1981 والتي يسمح نظامها الأساسي بذلك. (ب) البنوك التي يسمح نظامها الأساسي بذلك، وبعد الحصول على موافقة البنك المركزي المصري. (جـ) الهيئات العامة وغيرها من الأشخاص الاعتبارية العامة، بعد موافقة مجلس الوزراء بناءً على عرض وزير المالية وبمراعاة حكم المادة (14 مكررًا – 8). (د) مؤسسات التمويل الدولية أو الإقليمية، بعد الحصول على موافقة مجلس إدارة البنك المركزي المصري. ويحدد مجلس إدارة الهيئة الحدين الأدنى والأقصى لقيمة الصكوك لكل من الجهات المشار إليها، كما يحدد أيضًا الشروط والإجراءات اللازمة للموافقة على إصدار صكوك للجهات الواردة في البند “د”.
"""قانون سوق رأس المال - مادة (14 مكررًا / 7)""",يشترط لحصول شركة أو بنك على موافقة الهيئة للاستفادة من التمويل من خلال عقد إصدار صكوك وما يرتبط به من تصكيك وإصدار صكوك ما يأتي: (أ) التعاقد مع منظم للإصدار يتولى الإشراف على إعداد جميع المستندات والإجراءات والتعاقدات، ويتولى التعامل مع الهيئة بشأنها. (ب) موافقة الجمعية العامة غير العادية على عقد إصدار الصكوك والتعهدات المرتبطة به والالتزامات المترتبة عليه. (جـ) تقديم نشرة الاكتتاب العام أو مذكرة المعلومات، بحسب الأحوال، وفقًا لأحكام المادة (14 مكررًا 9) من هذا القانون. ويحدد مجلس إدارة الهيئة القواعد المنظمة للحد الأقصى لقيمة الصكوك المصدرة بمراعاة طبيعة المشروع، أو النشاط المراد إصدار صكوك لتمويله.
"""قانون سوق رأس المال - مادة (14 مكررًا / 8)""",للهيئات والأشخاص الاعتبارية العامة أن تصدر صكوكًا تكون هي الجهة المستفيدة منها، على أن يتوافر فيها الآتي: (أ) اعتماد وزارة المالية نشرة الاكتتاب، أو مذكرة المعلومات لإصدار الصكوك، وغيرها من المستندات والبيانات والإقرارات المرتبطة بالإصدار والمقدمة للهيئة. (ب) أن يتولى مراقبة حسابات المشروع الجهاز المركزي للمحاسبات، إضافة إلى مراقب حسابات من بين المسجلين لدى الهيئة تختاره وزارة المالية. (جـ) أن يكون رأسمال شركة التصكيك مملوكًا بالكامل لبنوك قطاع عام أو شركات قطاع عام أو قطاع أعمال عام أو أي من الأشخاص الاعتبارية العامة. (د) أن يكون لشركة التصكيك مراقبا حسابات أحدهما من الجهاز المركزي للمحاسبات.
"""قانون سوق رأس المال - مادة (14 مكررًا / 9)""",مع مراعاة أحكام المادة (4) من هذا القانون، تنظم اللائحة التنفيذية قواعد وإجراءات إصدار الصكوك وطرحها للاكتتاب العام أو من خلال الطرح الخاص، وتغطيتها، والبيانات التي يجب أن تتضمنها نشرة الاكتتاب أو مذكرة المعلومات لإصدار الصكوك، والمستندات والبيانات والإقرارات التي يجب إرفاقها بها لاعتمادها من الهيئة، على أن تتضمن شهادة بالتصنيف الائتماني للإصدار من إحدى جهات التصنيف المعتمدة لدى الهيئة، وألا تقل درجة التصنيف عن المستوى الدال على الوفاء بالالتزامات الواردة بنشرة الاكتتاب العام أو مذكرة المعلومات، وذلك في الحالات التي تتطلب طبيعة الصك ذلك. وتقوم الجهة المصدرة بطرح الصكوك بناءً على نشرة اكتتاب عام، أو مذكرة معلومات معتمدة من الهيئة، ومعدة على النموذج المعد لذلك، ويتم نشر نشرة الاكتتاب العام وفقًا للقواعد الواردة بالفقرة الثانية من المادة (4) من هذا القانون. وتكون الشركة المصدرة للصكوك مسئولة عن صحة المستندات والبيانات والإقرارات المقدمة للهيئة، وعن المعلومات الواردة في نشرة الاكتتاب العام أو مذكرة المعلومات ودقتها وشمولها، وأية معلومات أو بيانات أخرى يتم الإفصاح عنها.
"""قانون سوق رأس المال - مادة (14 مكررًا / 10)""",تكون الجهة المصدرة للصكوك مسئولة عن الحقوق المقررة لحملة الصكوك، وفقا للأحكام المنظمة لعمل شركات التصكيك الواردة في هذا القانون، وفي الحدود المنصوص عليها في نشرة الاكتتاب العام أو مذكرة المعلومات، وتلتزم الجهة المصدرة بتعيين وكيل سداد لها.
"""قانون سوق رأس المال - مادة (14 مكررًا / 11)""",يجوز أن يكون للصكوك ضامن لتغطية الاكتتاب من الجهات المرخص لها بذلك من الهيئة، فإذا كان الضامن بنكًا وجب عليه الحصول على موافقة البنك المركزي المصري. كما يجوز أن يكون للصكوك متعهد إعادة شراء أو متعهد استرداد من البنوك أو الشركات العاملة في مجال الأوراق المالية، ويلتزم بشرائها أو استردادها وفقًا لما تحدده نشرة الاكتتاب أو مذكرة المعلومات.
"""قانون سوق رأس المال - مادة (14 مكررًا / 12)""",في حالة عدم اكتمال عملية إصدار الصكوك لعدم التغطية أو لأي سبب آخر تعاد للمكتتبين جميع المبالغ التي دفعوها كاملة وذلك خلال يومي عمل من التاريخ المحدد لانتهاء مدة تغطية الاكتتاب أو الطرح، أو خلال المدة التي تحددها نشرة الاكتتاب أو مذكرة المعلومات في غيرها من حالات عدم اكتمال عملية الإصدار.
"""قانون سوق رأس المال - مادة (14 مكررًا / 13)""",يجب أن يتم قيد الصكوك وإيداعها لدى شركة الإيداع والقيد المركزي وفقًا لأحكام قانون الإيداع والقيد المركزي. وتحفظ الصكوك من خلال أحد أمناء الحفظ المرخص لهم من الهيئة، ويتولى وكيل السداد توزيع العوائد وأداء القيمة الاستردادية عند حلول أجل الصك وفقًا للأحكام الواردة بنشرة الاكتتاب أو مذكرة المعلومات.
"""قانون سوق رأس المال - مادة (14 مكررًا / 14)""",يجب قيد الصكوك التي تطرح في اكتتاب عام للتداول في إحدى بورصات الأوراق المالية في مصر، كما يجوز إدراجها وتداولها في الأسواق المالية في الخارج بعد موافقة الهيئة، كما يجوز قيد الصكوك التي تطرح طرحًا خاصًا في إحدى بورصات الأوراق المالية بمصر، ويحدد مجلس إدارة الهيئة شروط وقواعد قيدها. ويكون تداول الصكوك خارج بورصات الأوراق المالية وفقًا للضوابط التي يصدر بها قرار من مجلس إدارة الهيئة.
"""قانون سوق رأس المال - مادة (14 مكررًا / 15)""",يجوز لمالكي الصكوك ذات الإصدار الواحد تكوين جماعة لحماية المصالح المشتركة لأعضائها، ويكون للجماعة ممثل قانوني من بين أعضائها يتم اختياره وعزله وفقًا للشروط والأوضاع التي تحددها اللائحة التنفيذية لهذا القانون. ويشترط أن لا تكون له أية علاقة مباشرة أو غير مباشرة بالجهة المصدرة، وألا تكون له مصلحة متعارضة مع مصلحة الجماعة. ويتعين إخطار الهيئة والجهة المصدرة وشركة التصكيك بتشكيل هذه الجماعة، واسم ممثلها، وقراراتها. وتحدد اللائحة التنفيذية لهذا القانون إجراءات دعوة الجماعة للانعقاد، وكيفية الانعقاد، ومكانه، والتصويت، وعلاقة الجماعة بالجهة المصدرة.
"""قانون سوق رأس المال - مادة (14 مكررًا / 16)""",تحدد اللائحة التنفيذية لهذا القانون متطلبات الإفصاح التي يجب أن تلتزم بها شركة التصكيك والجهة المستفيدة وغيرها من الجهات المشاركة في عملية إصدار الصكوك منذ الإصدار وحتى نهاية أجل الصك. ويجب أن يتضمن الإفصاح على تقارير مراقب الحسابات، والقوائم المالية الدورية أو السنوية والتصنيف الائتماني الخاص بالصكوك، والأحداث الجوهرية، والتعديلات على التعاقدات، والتعهدات الواردة بنشرة الاكتتاب أو مذكرة المعلومات لإصدار الصكوك. ويحدد مجلس إدارة الهيئة قواعد الإفصاح ومعاييره ومواعيده.
